,NO2(t-10),NO2(t-9),NO2(t-8),NO2(t-7),NO2(t-6),NO2(t-5),NO2(t-4),NO2(t-3),NO2(t-2),NO2(t-1),NO2(t)
103,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05
104,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06
105,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05
106,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05
107,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06
108,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06
109,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06
110,1.4316906e-05,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06
111,1.0282495e-05,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06
112,7.468752e-06,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05
113,1.1995457e-05,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06
114,9.013541e-06,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05
115,1.62194e-05,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05
116,1.2417369e-05,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05
117,9.731425e-06,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05
118,8.857732e-06,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05
